timestamp,tilt X,tilt Y,alpha,beta,xC_det7,yC_det7,Centroid_det7,xC_det8,yC_det8,Centroid_det8,xC_det17,yC_det17,Centroid_det17
2024-099-00:08:27.100000000,0.00872373284354674,90.1108392245742,0.111182,4.500258,0.000484386142389051,-0.0863415897214406,0.0863429484414363,0.000499078553557017,-0.102196740452468,0.102197959072145,-0.000320715055246968,0.0143587553279246,0.0143623366035567
2024-099-00:08:27.200000000,0.0186584317765834,90.1027039021727,0.104385,10.296749,0.000491798628853942,-0.0804222194831643,0.0804237231946495,0.000506286663392654,-0.0995657081632624,0.099566995376166,-0.000352868226997791,0.0153395339958111,0.0153435921216079
2024-099-00:08:27.300000000,0.0392087683634091,90.0959295189653,0.103633,22.231062,0.000486289917644765,-0.0744677814254106,0.074469369195037,0.000512939110421579,-0.0960215292447189,0.0960228992742118,-0.000396794070918593,0.0160983220268168,0.0161032114068533
2024-099-00:08:27.400000000,0.0562945143614629,90.0896626295608,0.10587,32.122599,0.000492977414792956,-0.0686626892962985,0.0686644589881223,0.000512497291983217,-0.0917288700257891,0.0917303016984159,-0.00042381411121183,0.0165640680515855,0.0165694890934639
2024-099-00:08:27.500000000,0.0630963748083557,90.0776688776063,0.100068,39.089618,0.000557596488095015,-0.0628039204516402,0.0628063956770287,0.000572816254885861,-0.0859937681332745,0.0859956759158345,-0.00046618545864041,0.0172315821289233,0.0172378870963838
2024-099-00:08:27.600000000,0.0530130124956376,90.0536254245928,0.075406,44.670973,0.0005426813293889,-0.0562317352009029,0.0562343537948977,0.00055635492472935,-0.0789610914152801,0.0789630514120021,-0.000484277457550593,0.0180065788420918,0.0180130898585545
2024-099-00:08:27.700000000,0.0361528019027969,90.0273837474261,0.045353,52.85809,0.000560808598846103,-0.0524493905669107,0.0524523886693912,0.00057367308339877,-0.0748042254507968,0.0748064251658923,-0.000494960715241128,0.0182267034918472,0.0182334227804147
2024-099-00:08:27.800000000,0.0230170317260461,90.0088449544222,0.024658,68.979298,0.000518260647267308,-0.0508749256050613,0.0508775652858805,0.000532517433268649,-0.0727336038200258,0.0727355532010667,-0.000480723840367682,0.0178280554203533,0.0178345354714354
2024-099-00:08:27.900000000,0.0122630552139816,89.9959708634837,0.012908,108.1884,0.000472850208323371,-0.0507614651087767,0.050763667394201,0.00048845650873699,-0.0720441104959317,0.0720457663357879,-0.000466773522749305,0.0176952775280677,0.0177014328323127
2024-099-00:08:28.000000000,0.00277105407991787,89.9867435257922,0.013543,168.19324,0.000474118623622121,-0.051690232113481,0.051692406448286,0.000489390667765201,-0.0723587961701866,0.0723604511209287,-0.000459057214659864,0.0174660168886618,0.0174720485198888
2024-099-00:08:28.100000000,0.00500389363907162,89.9903457302355,0.010874,152.601892,0.00041181571756835,-0.0522049712197426,0.0522065954860053,0.0004290201780066,-0.0723050726745953,0.0723063454531596,-0.000439102864544785,0.0173505170804073,0.0173560725477614
2024-099-00:08:28.200000000,0.0290702315848991,90.0163465855618,0.033351,60.650364,0.000417664497674013,-0.0499982425112905,0.0499999869785027,0.000434453893568774,-0.069709404660502,0.0697107584832302,-0.000441737204954344,0.0173841864897572,0.0173897979191507
2024-099-00:08:28.300000000,0.0600267555654698,90.0490682218669,0.07753,50.736104,0.000378380000327244,-0.0442925766865594,0.0442941928581998,0.00039648550150182,-0.0638189038227953,0.0638201354268079,-0.000448913458891373,0.0177019745585094,0.0177076657570581
2024-099-00:08:28.400000000,0.0826362894000727,90.073023863604,0.110278,48.533706,0.000336047850862804,-0.0395145250302154,0.0395159539492796,0.000364483173213736,-0.0585839458669227,0.0585850796817934,-0.000471620295850243,0.0184443525604311,0.0184503812176589
2024-099-00:08:28.500000000,0.0996440933567062,90.0908320512707,0.134831,47.64884,0.000357024342922297,-0.035092843542611,0.0350946596263251,0.000383544242051048,-0.0557951233537132,0.0557964416091356,-0.000504807273749572,0.018857857974662,0.01886461337468
2024-099-00:08:28.600000000,0.113425444056733,90.1052634250404,0.154744,47.137484,0.00035304259640629,-0.0310883020705704,0.0310903066036008,0.000381212529418074,-0.0546016328828372,0.0546029636234583,-0.00054507954700386,0.0199579385694125,0.0199653806288035
2024-099-00:08:28.700000000,0.118448267647439,90.1122890718182,0.163214,46.529123,0.000322406571278621,-0.027468413068673,0.0274703051040291,0.000351600341211128,-0.0539698477760969,0.0539709930590035,-0.000586491737756406,0.0216681591215644,0.0216760949498725
2024-099-00:08:28.800000000,0.109094652499178,90.1079132678089,0.15345,45.311965,0.000306327102486293,-0.0237107083893716,0.0237126870813818,0.000345096837092735,-0.0528528314171616,0.0528539580413603,-0.000636762810069408,0.0231160682633493,0.0231248368390376
2024-099-00:08:28.900000000,0.0943198871930337,90.0988468756964,0.136627,43.657522,0.000272869962179012,-0.0198152838874294,0.0198171626010304,0.000324030239062643,-0.0511100119371667,0.0511110390797639,-0.000655708830921232,0.0235031668899506,0.0235123118371592
2024-099-00:08:29.000000000,0.0829396372933494,90.0916418552447,0.123601,42.146419,0.000286263169783081,-0.0159194627525567,0.0159220363312113,0.000324567711531725,-0.0485005989364711,0.0485016849335752,-0.000684160017882677,0.0238084636766058,0.0238182916593597
2024-099-00:08:29.100000000,0.0739221688387471,90.0855246335781,0.113044,40.83812,0.000218294351291255,-0.0119858094123776,0.0119877971159695,0.000257895403596701,-0.0451477250124801,0.0451484615888705,-0.000696889064186332,0.0241824437579714,0.0241924831399183
2024-099-00:08:29.200000000,0.0659837177839545,90.0799873446044,0.103691,39.520163,0.000219175954913758,-0.00823647370080448,0.00823938936592125,0.000253329433687984,-0.0414227317187615,0.0414235063562521,-0.000715598289684056,0.0245315048215096,0.0245419398116764
2024-099-00:08:29.300000000,0.0598631882023445,90.0746780076563,0.09571,38.716287,0.000172965529049596,-0.00434716368780015,0.00435060331480217,0.000205996530573207,-0.0371793051541565,0.0371798758243824,-0.000724658931144492,0.0249281945715129,0.0249387252112391
2024-099-00:08:29.400000000,0.0561206736057982,90.0697317119327,0.08951,38.827422,0.00014579906937207,-0.000691434966040127,0.000706639710809316,0.00018624097510028,-0.0325568289593076,0.0325573616496549,-0.000736130485278581,0.0251901443385627,0.0252008979976702
2024-099-00:08:29.500000000,0.0539319683915095,90.0652194828382,0.08463,39.588392,8.93027354825943e-05,0.00286488345487932,0.00286627496737594,0.000131198939983312,-0.0277642030022924,0.0277645129889641,-0.000738687701731967,0.0256512804030979,0.025661914305816
2024-099-00:08:29.600000000,0.0530997929291536,90.0617736332458,0.081459,40.681929,5.98532433024235e-05,0.00651890731557643,0.00651918208058417,0.000102198374046738,-0.0229954053755228,0.0229956324742826,-0.000746304907280405,0.0260786120817385,0.026089288589849
2024-099-00:08:29.700000000,0.0531184832403299,90.0590689540951,0.07944,41.963865,7.54097888008824e-05,0.0102832327521028,0.0102835092488006,0.000120320897544984,-0.0183875739965651,0.0183879676581601,-0.000765867064680474,0.0266751833996603,0.026686175480317
2024-099-00:08:29.800000000,0.0536242873070326,90.0568673133184,0.078163,43.318814,8.58903380454194e-05,0.0140156677466029,0.0140159309192552,0.000128505098158632,-0.0139629579563552,0.0139635492784319,-0.000779116713257758,0.0271435216994008,0.0271547011233547
2024-099-00:08:29.900000000,0.0500473706480704,90.0550105295453,0.07437,42.295248,9.61465145443947e-05,0.0176935721846033,0.0176938334117858,0.000139034551053458,-0.00969198918624869,0.00969298638154146,-0.000794888395115166,0.0276461998538614,0.0276576248785093
2024-099-00:08:30.000000000,0.0374856698508556,90.0533258703686,0.065183,35.105488,0.000121003651567535,0.0213930082668008,0.0213933504759563,0.000162246609659018,-0.00550091065996038,0.005503302831138,-0.000810812588821566,0.0280631433948949,0.0280748541270765
2024-099-00:08:30.100000000,0.0224875577706981,90.051840755661,0.056508,23.450309,0.000142476177493214,0.0250428813594993,0.0250432866502604,0.00018292420195824,-0.00146987790209552,0.0014812164969142,-0.000824556153794219,0.0284396193449744,0.0284515701032087
2024-099-00:08:30.200000000,0.0115263734102307,90.0510099438062,0.052296,12.732906,0.000126495490758332,0.0285632656969488,0.0285635457950107,0.000167026090827995,0.00237904378670034,0.00238489979958378,-0.000828576313061713,0.0287499913014175,0.028761928630364
2024-099-00:08:30.300000000,0.0036822487436924,90.050604206265,0.050738,4.161831,0.000158225303270087,0.0319984887214795,0.0319988799132914,0.000198104877448984,0.00614004633892486,0.00614324137460133,-0.000841209385541106,0.0290480965872133,0.0290602744063162
2024-099-00:08:30.400000000,0.00380011229971468,90.050447073753,0.05059,4.307881,0.000120251673183488,0.0353111604102418,0.0353113651673612,0.000160562073092676,0.00975315025302208,0.00975447179694218,-0.000839959017047885,0.029320331551512,0.0293323605160054
2024-099-00:08:30.500000000,0.00600999585570727,90.0456339428655,0.046028,7.502683,0.000145273060883249,0.0383791096266009,0.0383793845702725,0.000184495737279894,0.0131102751893593,0.0131115732930036,-0.000848443104664357,0.0294092673609116,0.0294215034015502
2024-099-00:08:30.600000000,0.00203484907851156,90.0312808855156,0.031347,3.721897,0.000124553812490953,0.0401567779833637,0.0401569711464568,0.000163847337988701,0.0152189166105392,0.015219798577797,-0.000842989903841484,0.029328174558401,0.0293402872328479
2024-099-00:08:30.700000000,0.00509200059219502,90.0141422237111,0.015031,19.801746,0.000162708252223198,0.0405963596120102,0.0405966856741162,0.00020067482308178,0.0160452146214739,0.0160464694756753,-0.000844137636982341,0.0289962971976329,0.0290085818254465
2024-099-00:08:30.800000000,0.010604119618597,90.0009545973627,0.010647,84.856021,0.000211381759427097,0.0400333857732865,0.040033943831716,0.000247760899788942,0.0159158326785359,0.0159177610019316,-0.000847137713274151,0.028734384782546,0.0287468695884728
2024-099-00:08:30.900000000,0.0153079589544636,89.9907705894189,0.017875,121.086439,0.000227122452537769,0.0386906817433669,0.0386913483659455,0.000262777773859354,0.0150291375282622,0.0150314346288654,-0.000841189783326794,0.0285688495419628,0.028581230981238
2024-099-00:08:31.000000000,0.0195212394895743,89.9822730323532,0.026369,132.242153,0.00021108177443684,0.0367408310139395,0.0367414373577077,0.000246841466445709,0.0135487948397518,0.0135510432188538,-0.000823973306159794,0.0281233332902799,0.02813540131872
2024-099-00:08:31.100000000,0.0146836938898573,89.973579162049,0.030227,150.936363,0.000209063225780223,0.0345175213211591,0.0345181544348629,0.000245047117155218,0.0115026501943692,0.0115052600832683,-0.000808170890388352,0.0275645532001806,0.0275763981207419
2024-099-00:08:31.200000000,0.00844209518630746,89.9628624413316,0.038085,167.193179,0.000236306761980567,0.0321748316597517,0.0321756994208225,0.000270923272733918,0.00881966518821091,0.00882382532985826,-0.00079652990487038,0.0269618290685999,0.0269735923935569
2024-099-00:08:31.300000000,0.0365566336629875,89.9526762930433,0.059799,142.314612,0.000250212115581303,0.0294455542037311,0.029446617266974,0.000270943016119709,0.00556523730172006,0.00557182881489018,-0.000775445824731181,0.0262785769227113,0.0262900156201921
2024-099-00:08:31.400000000,0.0573734237368928,89.9457566486273,0.078956,133.39366,0.000263825825928783,0.0258873340042918,0.0258886783346735,0.000287375451012701,0.00230638181591847,0.00232421636915415,-0.000753891797406038,0.0253512433737175,0.0253624504619655
2024-099-00:08:31.500000000,0.0729917291605675,89.9414051492661,0.093601,128.756088,0.000244925439838219,0.0217695563748953,0.0217709341377633,0.000283788371080848,-0.000969171003886994,0.00100986547338546,-0.000725711992615162,0.0243932564937721,0.024404049259645
2024-099-00:08:31.600000000,0.0855141391789633,89.9385640835664,0.105295,125.694572,0.000264059599358178,0.017167189202476,0.0171692199177954,0.000277386340877299,-0.00420884410973311,0.00421797486030208,-0.000700584367773392,0.0235433814029774,0.0235538028000242
2024-099-00:08:31.700000000,0.0893856363963838,89.9390930060537,0.108164,124.270325,0.000257140226756057,0.0127598873314369,0.0127624780433574,0.00027523943319301,-0.0073231651067974,0.00732833568602035,-0.000674244045316515,0.0226776940295632,0.022687714991403
